R|0abbr|RSC|RSC-1|NNXX@|NNNXX-----@----|N|B|t|(referree_stopped_contest)
R|0|jedenačtyřicíti|jedenačtyřicet`41|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|jedenkrát|jedenkrát`1|CM|Cv-------------|C|0|0|0
R|0|jeden|jeden`1|CGIS4|ClIS4----------|C|0|0|0
R|0|jeden|jeden`1|CGYS1|ClYS1----------|C|0|0|0
R|0|jeden|jeden`1|CGYS5|ClYS5----------|C|0|0|0
R|0|jednatřicíti|jedenatřicet`31|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|jednatřicíti|jedenatřicet`31|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|jednatřicíti|jedenatřicet`31|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|jednatřicíti|jedenatřicet`31|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|jedna|jeden`1|CD1NP1|ChNP1----------|C|0|0|0
R|0|jedna|jeden`1|CD1NP4|ChNP4----------|C|0|0|0
R|0|jedna|jeden`1|CD1NP5|ChNP5----------|C|0|0|0
R|0|jedna|jeden`1|CGFS1|ClFS1----------|C|0|0|0
R|0|jedna|jeden`1|CGFS5|ClFS5----------|C|0|0|0
R|0|jedni|jeden`1|CD1MP1|ChMP1----------|C|0|0|0
R|0|jedni|jeden`1|CD1MP5|ChMP5----------|C|0|0|0
R|0|jednoho|jeden`1|CGMS4|ClMS4----------|C|0|0|0
R|0|jednoho|jeden`1|CGZS2|ClZS2----------|C|0|0|0
R|0|jednomu|jeden`1|CGZS3|ClZS3----------|C|0|0|0
R|0|jednom|jeden`1|CGZS6|ClZS6----------|C|0|0|0
R|0|jednou|jeden`1|CGFS7|ClFS7----------|C|0|0|0
R|0|jedno|jeden`1|CGNS1|ClNS1----------|C|0|0|0
R|0|jedno|jeden`1|CGNS4|ClNS4----------|C|0|0|0
R|0|jedno|jeden`1|CGNS5|ClNS5----------|C|0|0|0
R|0|jednu|jeden`1|CGFS4|ClFS4----------|C|0|0|0
R|0|jedny|jeden`1|CD1FP1|ChFP1----------|C|0|0|0
R|0|jedny|jeden`1|CD1FP4|ChFP4----------|C|0|0|0
R|0|jedny|jeden`1|CD1FP5|ChFP5----------|C|0|0|0
R|0|jedny|jeden`1|CD1IP1|ChIP1----------|C|0|0|0
R|0|jedny|jeden`1|CD1IP5|ChIP5----------|C|0|0|0
R|0|jedny|jeden`1|CD1YP4|ChYP4----------|C|0|0|0
R|0|jedné|jeden`1|CGFS2|ClFS2----------|C|0|0|0
R|0|jedné|jeden`1|CGFS3|ClFS3----------|C|0|0|0
R|0|jedné|jeden`1|CGFS6|ClFS6----------|C|0|0|0
R|0|jedněch|jeden`1|CD1XP2|ChXP2----------|C|0|0|0
R|0|jedněch|jeden`1|CD1XP6|ChXP6----------|C|0|0|0
R|0|jedněma|jeden`1|CD1FD7|ChFD7----------|C|0|0|0
R|0|jedněmi|jeden`1|CD1XP7|ChXP7----------|C|0|0|0
R|0|jedněm|jeden`1|CD1XP3|ChXP3----------|C|0|0|0
R|0|jedním|jeden`1|CGZS7|ClZS7----------|C|0|0|0
R|0|nejeden|nejeden|CIFIS4|CwIS4----------|C|0|0|0
R|0|nejeden|nejeden|CIFYS1|CwYS1----------|C|0|0|0
R|0|nejeden|nejeden|CIFYS5|CwYS5----------|C|0|0|0
R|0|nejedna|nejeden|CD1NP1|ChNP1----------|C|0|0|0
R|0|nejedna|nejeden|CD1NP4|ChNP4----------|C|0|0|0
R|0|nejedna|nejeden|CD1NP5|ChNP5----------|C|0|0|0
R|0|nejedna|nejeden|CIFFS1|CwFS1----------|C|0|0|0
R|0|nejedna|nejeden|CIFFS5|CwFS5----------|C|0|0|0
R|0|nejedni|nejeden|CD1MP1|ChMP1----------|C|0|0|0
R|0|nejedni|nejeden|CD1MP5|ChMP5----------|C|0|0|0
R|0|nejednoho|nejeden|CIFMS4|CwMS4----------|C|0|0|0
R|0|nejednoho|nejeden|CIFZS2|CwZS2----------|C|0|0|0
R|0|nejednomu|nejeden|CIFZS3|CwZS3----------|C|0|0|0
R|0|nejednom|nejeden|CIFZS6|CwZS6----------|C|0|0|0
R|0|nejednou|nejeden|CIFFS7|CwFS7----------|C|0|0|0
R|0|nejedno|nejeden|CIFNS1|CwNS1----------|C|0|0|0
R|0|nejedno|nejeden|CIFNS4|CwNS4----------|C|0|0|0
R|0|nejedno|nejeden|CIFNS5|CwNS5----------|C|0|0|0
R|0|nejednu|nejeden|CIFFS4|CwFS4----------|C|0|0|0
R|0|nejedny|nejeden|CD1FP1|ChFP1----------|C|0|0|0
R|0|nejedny|nejeden|CD1FP4|ChFP4----------|C|0|0|0
R|0|nejedny|nejeden|CD1FP5|ChFP5----------|C|0|0|0
R|0|nejedny|nejeden|CD1IP1|ChIP1----------|C|0|0|0
R|0|nejedny|nejeden|CD1IP5|ChIP5----------|C|0|0|0
R|0|nejedny|nejeden|CD1YP4|ChYP4----------|C|0|0|0
R|0|nejedné|nejeden|CIFFS2|CwFS2----------|C|0|0|0
R|0|nejedné|nejeden|CIFFS3|CwFS3----------|C|0|0|0
R|0|nejedné|nejeden|CIFFS6|CwFS6----------|C|0|0|0
R|0|nejedněch|nejeden|CD1XP2|ChXP2----------|C|0|0|0
R|0|nejedněch|nejeden|CD1XP6|ChXP6----------|C|0|0|0
R|0|nejedněma|nejeden|CD1FD7|ChFD7----------|C|0|0|0
